"","Name","Team","Minutes","FantasyPoints","Goals","Shots"
"1","Per Mertesacker","Arsenal FC",444.5,29.3,0,4.3
"2","Arteta","Arsenal FC",93.9,4.3,0,0
"3","Olivier Giroud","Arsenal FC",487,86.2,8.6,19.1
"4","Nacho Monreal","Arsenal FC",396.1,41.8,0,6.5
"5","Santi Cazorla","Arsenal FC",512,52.1,0,12.9
"6","Mathieu Flamini","Arsenal FC",264.1,13.5,0,2.2
"7","Alex Oxlade-Chamberlain","Arsenal FC",227.4,27.1,0,10.8
"8","Aaron Ramsey","Arsenal FC",209.8,16.5,0,4.3
"9","Bellerín","Arsenal FC",378.5,26,0,2.2
"10","Laurent Koscielny","Arsenal FC",479.7,27.9,0,2.2
"11","Mesut Özil","Arsenal FC",660.2,78.9,2.2,10.3
"12","Kieran Gibbs","Arsenal FC",299.3,29.3,0,0
"13","Theo Walcott","Arsenal FC",274.3,63.1,4.3,11.7
"14","Alex Iwobi","Arsenal FC",10.8,1.1,0,0
"15","Alexis Sánchez","Arsenal FC",528.1,129.8,6.5,17.6
"16","David Ospina","Arsenal FC",264.1,-1.5,0,0
"17","Calum Chambers","Arsenal FC",16.1,4.3,0,0
"18","Francis Coquelin","Arsenal FC",258.2,13.9,0,0
"19","Gabriel Paulista","Arsenal FC",396.1,10.3,0,2.2
"20","Petr Cech","Arsenal FC",396.1,59.4,0,0
"21","Joel Campbell","Arsenal FC",393.2,43.3,0,2.2
"22","Matt Macey","Arsenal FC",0,0,0,0
"23","Jeff Reine-Adelaide","Arsenal FC",0,0,0,0
"24","Mathieu Debuchy","Arsenal FC",275.8,24.9,0,2.2
"25","Juan Iturbe","AS Roma",262.6,23.1,0,4.3
"26","Miralem Pjanic","AS Roma",506.1,80.3,2.2,13.2
"27","Maicon","AS Roma",161.4,14.5,0,2.2
"28","Daniele De Rossi","AS Roma",528.1,25.3,0,6.5
"29","Vassilis Torosidis","AS Roma",93.9,24.6,2.2,6.5
"30","Alessandro Florenzi","AS Roma",556,71.5,2.2,13.2
"31","Francesco Totti","AS Roma",0,0,0,0
"32","Leandro Castan","AS Roma",0,0,0,0
"33","Morgan De Sanctis","AS Roma",58.7,-2.9,0,0
"34","Radja Nainggolan","AS Roma",594.1,66.4,0,16.1
"35","Salih Uçan","AS Roma",32.3,0.5,0,0
"36","Kostas Manolas","AS Roma",660.2,45.5,0,6.5
